"Months since the start of 2004","Searches for the term 'Artificial Intelligence'"
1,98
2,100
3,94
4,93
5,74
6,66
7,72
8,72
9,78
10,73
11,75
12,73
13,67
14,69
15,66
16,59
17,58
18,53
19,53
20,46
21,59
22,56
23,57
24,44
25,41
26,51
27,49
28,43
29,42
30,35
31,31
32,32
33,45
34,43
35,39
36,34
37,34
38,33
39,39
40,33
41,30
42,27
43,30
44,29
45,32
46,32
47,31
48,27
49,29
50,30
51,30
52,25
53,27
54,24
55,24
56,23
57,27
58,25
59,25
60,25
61,25
62,27
63,27
64,27
65,26
66,25
67,27
68,30
69,28
70,29
71,27
72,28
73,28
74,29
75,28
76,26
77,26
78,23
79,21
80,23
81,25
82,29
83,27
84,23
85,25
86,27
87,26
88,26
89,23
90,22
91,22
92,26
93,29
94,33
95,33
96,28
97,26
98,28
99,29
100,25
101,23
102,23
103,22
104,22
105,26
106,25
107,24
108,22
109,22
110,25
111,25
112,24
113,23
114,22
115,20
116,21
117,24
118,23
119,24
120,23
121,24
122,27
123,26
124,26
125,25
126,22
127,20
128,25
129,25
130,25
131,29
132,29
133,29
134,30
135,32
136,30
137,34
138,29
139,32
140,29
141,33
142,33
143,35
144,33
145,37
146,33
147,38
148,37
149,37
150,33
151,29
152,30
153,36
154,43
155,44
156,43
157,45
158,46
159,50
160,51
161,54
162,46
163,50
164,57
165,64
166,66
167,74
168,65
169,81
